group_family,Nc,Nt,Ns,nF,nAS,nS,nADJ,name,beta,mass,Ls,alpha,a5,M5,mpv,therm,delta_traj,mres_p_start,mres_p_end
Sp,4,32,16,2,0,0,0,B2M2S24,7.5,0.02,8,1.625,1,1.8,0.3,150,5,11,21
Sp,4,32,16,2,0,0,0,B2M2S25,7.5,0.02,8,1.625,1,1.8,0.7,150,5,13,23
Sp,4,32,16,2,0,0,0,B2M2S26,7.5,0.02,8,1.625,1,1.8,0.9,150,5,13,25
Sp,4,32,16,2,0,0,0,B2M2S27,7.5,0.02,8,1.625,1,1.8,1.1,150,5,16,23
Sp,4,32,16,2,0,0,0,B2M2S28,7.5,0.02,8,1.625,1,1.8,1.3,150,5,9,24
Sp,4,32,16,2,0,0,0,B2M2S29,7.5,0.02,8,1.625,1,1.8,1.6,150,5,15,22
Sp,4,32,16,2,0,0,0,B3M1S1,7.6,0.06,8,1,1,1.8,1,150,5,12,19
Sp,4,32,16,2,0,0,0,B3M1S2,7.6,0.06,8,1.25,1,1.8,1,150,5,12,16
Sp,4,32,16,2,0,0,0,B3M1S3,7.6,0.06,8,1.5,1,1.8,1,150,5,10,22
Sp,4,32,16,2,0,0,0,B3M1S4,7.6,0.06,8,1.75,1,1.8,1,150,5,15,22
Sp,4,32,16,2,0,0,0,B3M1S5,7.6,0.06,8,2,1,1.8,1,150,5,9,14
Sp,4,32,16,2,0,0,0,B3M1S6,7.6,0.06,8,2.25,1,1.8,1,150,5,11,19
Sp,4,32,16,2,0,0,0,B3M1S7,7.6,0.06,8,2.5,1,1.8,1,150,5,9,15
Sp,4,32,16,2,0,0,0,B3M1S8,7.6,0.06,8,2.75,1,1.8,1,150,5,10,17
Sp,4,32,16,2,0,0,0,B3M1S9,7.6,0.06,8,1.5,0.2,1.8,1,150,5,13,16
Sp,4,32,16,2,0,0,0,B3M1S10,7.6,0.06,8,1.5,0.5,1.8,1,150,5,12,16
Sp,4,32,16,2,0,0,0,B3M1S11,7.6,0.06,8,1.5,0.7,1.8,1,150,5,10,15
Sp,4,32,16,2,0,0,0,B3M1S12,7.6,0.06,8,1.5,0.9,1.8,1,150,5,17,23
Sp,4,32,16,2,0,0,0,B3M1S13,7.6,0.06,8,1.5,1.1,1.8,1,150,5,16,20
Sp,4,32,16,2,0,0,0,B3M1S14,7.6,0.06,8,1.5,1.2,1.8,1,150,5,10,17
